Company Name,Industry,Symbol,Series,ISIN Code
BCE Inc.,Communication Services,BCE.TO,EQ,
Cogeco Communications Inc.,Communication Services,CCA.TO,EQ,
Quebecor Inc.,Communication Services,QBR-B.TO,EQ,
Rogers Communications Inc.,Communication Services,RCI-B.TO,EQ,
Telus Corporation,Communication Services,T.TO,EQ,
Alimentation Couche-Tard Inc.,Consumer Discretionary,ATD.TO,EQ,
Aritzia Inc.,Consumer Discretionary,ATZ.TO,EQ,
BRP Inc.,Consumer Discretionary,DOO.TO,EQ,
Boyd Group Services Inc.,Consumer Discretionary,BYD.TO,EQ,
CCL Industries Inc.,Consumer Discretionary,CCL-B.TO,EQ,
Canadian Tire Corporation Limited,Consumer Discretionary,CTC-A.TO,EQ,
Gildan Activewear Inc.,Consumer Discretionary,GIL.TO,EQ,
Linamar Corporation,Consumer Discretionary,LNR.TO,EQ,
Magna International Inc.,Consumer Discretionary,MG.TO,EQ,
NFI Group Inc.,Consumer Discretionary,NFI.TO,EQ,
Pet Valu Holdings Ltd.,Consumer Discretionary,PET.TO,EQ,
Restaurant Brands International Inc.,Consumer Discretionary,QSR.TO,EQ,
Richelieu Hardware Ltd.,Consumer Discretionary,RCH.TO,EQ,
Transcontinental Inc.,Consumer Discretionary,TCL-A.TO,EQ,
Winpak Ltd.,Consumer Discretionary,WPK.TO,EQ,
Dollarama Inc.,Consumer Staples,DOL.TO,EQ,
Empire Company Limited,Consumer Staples,EMP-A.TO,EQ,
George Weston Limited,Consumer Staples,WN.TO,EQ,
Jamieson Wellness Inc.,Consumer Staples,JWEL.TO,EQ,
Loblaw Companies Limited,Consumer Staples,L.TO,EQ,
Maple Leaf Foods Inc.,Consumer Staples,MFI.TO,EQ,
Metro Inc.,Consumer Staples,MRU.TO,EQ,
North West Company Inc.,Consumer Staples,NWC.TO,EQ,
Premium Brands Holdings Corporation,Consumer Staples,PBH.TO,EQ,
Saputo Inc.,Consumer Staples,SAP.TO,EQ,
ARC Resources Ltd.,Energy,ARX.TO,EQ,
Advantage Energy Ltd.,Energy,AAV.TO,EQ,
AltaGas Ltd.,Energy,ALA.TO,EQ,
Athabasca Oil Corporation,Energy,ATH.TO,EQ,
Baytex Energy Corp.,Energy,BTE.TO,EQ,
Birchcliff Energy Ltd.,Energy,BIR.TO,EQ,
Boralex Inc.,Energy,BLX.TO,EQ,
Brookfield Renewable Partners L.P.,Energy,BEP-UN.TO,EQ,
CES Energy Solutions Corp.,Energy,CEU.TO,EQ,
Cameco Corporation,Energy,CCO.TO,EQ,
Canadian Natural Resources Limited,Energy,CNQ.TO,EQ,
Cenovus Energy Inc.,Energy,CVE.TO,EQ,
Denison Mines Corp.,Energy,DML.TO,EQ,
Enbridge Inc.,Energy,ENB.TO,EQ,
Energy Fuels Inc.,Energy,EFR.TO,EQ,
Freehold Royalties Ltd.,Energy,FRU.TO,EQ,
Gibson Energy Inc.,Energy,GEI.TO,EQ,
Headwater Exploration Inc.,Energy,HWX.TO,EQ,
Imperial Oil Limited,Energy,IMO.TO,EQ,
International Petroleum Corporation,Energy,IPCO.TO,EQ,
Kelt Exploration Ltd.,Energy,KEL.TO,EQ,
Keyera Corp.,Energy,KEY.TO,EQ,
NexGen Energy Ltd.,Energy,NXE.TO,EQ,
Northland Power Inc.,Energy,NPI.TO,EQ,
Paramount Resources Ltd.,Energy,POU.TO,EQ,
Parex Resources Inc.,Energy,PXT.TO,EQ,
Pembina Pipeline Corporation,Energy,PPL.TO,EQ,
Peyto Exploration & Development Corp.,Energy,PEY.TO,EQ,
PrairieSky Royalty Ltd.,Energy,PSK.TO,EQ,
South Bow Corporation,Energy,SOBO.TO,EQ,
Strathcona Resources Ltd.,Energy,SCR.TO,EQ,
Suncor Energy Inc.,Energy,SU.TO,EQ,
TC Energy Corporation,Energy,TRP.TO,EQ,
Tamarack Valley Energy Ltd.,Energy,TVE.TO,EQ,
TerraVest Industries Inc.,Energy,TVK.TO,EQ,
Topaz Energy Corp.,Energy,TPZ.TO,EQ,
Tourmaline Oil Corp.,Energy,TOU.TO,EQ,
Vermilion Energy Inc.,Energy,VET.TO,EQ,
Whitecap Resources Inc.,Energy,WCP.TO,EQ,
Bank of Montreal,Financials,BMO.TO,EQ,
Bank of Nova Scotia,Financials,BNS.TO,EQ,
Brookfield Asset Management Ltd.,Financials,BAM.TO,EQ,
Brookfield Corporation,Financials,BN.TO,EQ,
Canadian Imperial Bank of Commerce,Financials,CM.TO,EQ,
Definity Financial Corporation,Financials,DFY.TO,EQ,
EQB Inc.,Financials,EQB.TO,EQ,
Fairfax Financial Holdings Limited,Financials,FFH.TO,EQ,
Great-West Lifeco Inc.,Financials,GWO.TO,EQ,
IGM Financial Inc.,Financials,IGM.TO,EQ,
Intact Financial Corporation,Financials,IFC.TO,EQ,
Laurentian Bank of Canada,Financials,LB.TO,EQ,
Manulife Financial Corporation,Financials,MFC.TO,EQ,
National Bank of Canada,Financials,nan.TO,EQ,
Onex Corporation,Financials,ONEX.TO,EQ,
Power Corporation of Canada,Financials,POW.TO,EQ,
Royal Bank of Canada,Financials,RY.TO,EQ,
Sprott Inc.,Financials,SII.TO,EQ,
Sun Life Financial Inc.,Financials,SLF.TO,EQ,
TMX Group Limited,Financials,X.TO,EQ,
Toronto-Dominion Bank,Financials,TD.TO,EQ,
Trisura Group Ltd.,Financials,TSU.TO,EQ,
goeasy Ltd.,Financials,GSY.TO,EQ,
iA Financial Corporation Inc.,Financials,IAG.TO,EQ,
Bausch Health Companies Inc.,Health Care,BHC.TO,EQ,
"Curaleaf Holdings, Inc.",Health Care,CURA.TO,EQ,
Sienna Senior Living Inc.,Health Care,SIA.TO,EQ,
ATS Corporation,Industrials,ATS.TO,EQ,
Aecon Group Inc.,Industrials,ARE.TO,EQ,
Air Canada,Industrials,AC.TO,EQ,
AtkinsRéalis Group Inc.,Industrials,ATRL.TO,EQ,
Badger Infrastructure Solutions Ltd.,Industrials,BDGI.TO,EQ,
Bird Construction Inc.,Industrials,BDT.TO,EQ,
Bombardier Inc.,Industrials,BBD-B.TO,EQ,
Brookfield Business Corporation,Industrials,BBUC.TO,EQ,
CAE Inc.,Industrials,CAE.TO,EQ,
Canadian National Railway Company,Industrials,CNR.TO,EQ,
Canadian Pacific Kansas City Limited,Industrials,CP.TO,EQ,
Cargojet Inc.,Industrials,CJT.TO,EQ,
Element Fleet Management Corp.,Industrials,EFN.TO,EQ,
Equifax Inc.,Industrials,EFX.TO,EQ,
Exchange Income Corporation,Industrials,EIF.TO,EQ,
Finning International Inc.,Industrials,FTT.TO,EQ,
GFL Environmental Inc.,Industrials,GFL.TO,EQ,
MDA Space Ltd.,Industrials,MDA.TO,EQ,
Mullen Group Ltd.,Industrials,MTL.TO,EQ,
"RB Global, Inc.",Industrials,RBA.TO,EQ,
Russel Metals Inc.,Industrials,RUS.TO,EQ,
Secure Energy Services Inc.,Industrials,SES.TO,EQ,
Stantec Inc.,Industrials,STN.TO,EQ,
TFI International Inc.,Industrials,TFII.TO,EQ,
Thomson Reuters Corporation,Industrials,TRI.TO,EQ,
Toromont Industries Ltd.,Industrials,TIH.TO,EQ,
WSP Global Inc.,Industrials,WSP.TO,EQ,
Waste Connections Inc.,Industrials,WCN.TO,EQ,
5N Plus Inc.,Materials,VNP.TO,EQ,
AbraSilver Resource Corp.,Materials,ABRA.TO,EQ,
Agnico Eagle Mines Limited,Materials,AEM.TO,EQ,
Alamos Gold Inc.,Materials,AGI.TO,EQ,
Allied Gold Corporation,Materials,AAUC.TO,EQ,
Americas Gold And Silver Corporation,Materials,USA.TO,EQ,
Aris Mining Corporation,Materials,ARIS.TO,EQ,
Avino Silver & Gold Mines Ltd.,Materials,ASM.TO,EQ,
Aya Gold & Silver Inc.,Materials,AYA.TO,EQ,
B2Gold Corp.,Materials,BTO.TO,EQ,
Barrick Gold Corporation,Materials,ABX.TO,EQ,
Capstone Copper Corp.,Materials,CS.TO,EQ,
Centerra Gold Inc.,Materials,CG.TO,EQ,
Discovery Silver Corp.,Materials,DSV.TO,EQ,
Dundee Precious Metals Inc.,Materials,DPM.TO,EQ,
Eldorado Gold Corporation,Materials,ELD.TO,EQ,
Endeavour Silver Corp.,Materials,EDR.TO,EQ,
Equinox Gold Corp.,Materials,EQX.TO,EQ,
Ero Copper Corp.,Materials,ERO.TO,EQ,
First Majestic Silver Corp.,Materials,AG.TO,EQ,
First Quantum Minerals Ltd.,Materials,FM.TO,EQ,
Fortuna Mining Corp.,Materials,FVI.TO,EQ,
Franco-Nevada Corporation,Materials,FNV.TO,EQ,
G Mining Ventures Corp.,Materials,GMIN.TO,EQ,
Hudbay Minerals Inc.,Materials,HBM.TO,EQ,
I-80 Gold Corp.,Materials,IAU.TO,EQ,
Iamgold Corporation,Materials,IMG.TO,EQ,
