Company Name,Industry,Symbol,Series,ISIN Code
Ivanhoe Mines Ltd.,Materials,IVN.TO,EQ,
K92 Mining Inc.,Materials,KNT.TO,EQ,
Kinross Gold Corporation,Materials,K.TO,EQ,
Labrador Iron Ore Royalty Corporation,Materials,LIF.TO,EQ,
Lithium Americas Corp.,Materials,LAC.TO,EQ,
Lundin Gold Inc.,Materials,LUG.TO,EQ,
Lundin Mining Corporation,Materials,LUN.TO,EQ,
Methanex Corporation,Materials,MX.TO,EQ,
Montage Gold Corp.,Materials,MAU.TO,EQ,
NGEx Minerals Ltd.,Materials,NGEX.TO,EQ,
NovaGold Resources Inc.,Materials,NG.TO,EQ,
Nutrien Ltd.,Materials,NTR.TO,EQ,
OceanaGold Corporation,Materials,OGC.TO,EQ,
Orla Mining Ltd.,Materials,OLA.TO,EQ,
Osisko Gold Royalties Ltd.,Materials,OR.TO,EQ,
Pan American Silver Corp.,Materials,PAAS.TO,EQ,
Perpetua Resources Corp.,Materials,PPTA.TO,EQ,
SSR Mining Inc.,Materials,SSRM.TO,EQ,
Seabridge Gold Inc.,Materials,SEA.TO,EQ,
Silvercorp Metals Inc.,Materials,SVM.TO,EQ,
Skeena Resources Limited,Materials,SKE.TO,EQ,
Stella-Jones Inc.,Materials,SJ.TO,EQ,
Taseko Mines Limited,Materials,TKO.TO,EQ,
Teck Resources Limited,Materials,TECK-B.TO,EQ,
Torex Gold Resources Inc.,Materials,TXG.TO,EQ,
Triple Flag Precious Metals Corp.,Materials,TFPM.TO,EQ,
Vizsla Silver Corp.,Materials,VZLA.TO,EQ,
Wesdome Gold Mines Ltd.,Materials,WDO.TO,EQ,
West Fraser Timber Co. Ltd.,Materials,WFG.TO,EQ,
Wheaton Precious Metals Corp.,Materials,WPM.TO,EQ,
Allied Properties Real Estate Investment Trust,Real Estate,AP-UN.TO,EQ,
Altus Group Limited,Real Estate,AIF.TO,EQ,
Boardwalk Real Estate Investment Trust,Real Estate,BEI-UN.TO,EQ,
CT Real Estate Investment Trust,Real Estate,CRT-UN.TO,EQ,
Canadian Apartment Properties Real Estate Investment Trust,Real Estate,CAR-UN.TO,EQ,
Chartwell Retirement Residences,Real Estate,CSH-UN.TO,EQ,
Choice Properties Real Estate Investment Trust,Real Estate,CHP-UN.TO,EQ,
Colliers International Group Inc.,Real Estate,CIGI.TO,EQ,
Crombie Real Estate Investment Trust,Real Estate,CRR-UN.TO,EQ,
Dream Industrial Real Estate Investment Trust,Real Estate,DIR-UN.TO,EQ,
First Capital Real Estate Investment Trust,Real Estate,FCR-UN.TO,EQ,
FirstService Corporation,Real Estate,FSV.TO,EQ,
Granite Real Estate Investment Trust,Real Estate,GRT-UN.TO,EQ,
H&R Real Estate Investment Trust,Real Estate,HR-UN.TO,EQ,
InterRent Real Estate Investment Trust,Real Estate,IIP-UN.TO,EQ,
Killam Apartment Real Estate Investment Trust,Real Estate,KMP-UN.TO,EQ,
Primaris Real Estate Investment Trust,Real Estate,PMZ-UN.TO,EQ,
RioCan Real Estate Investment Trust,Real Estate,REI-UN.TO,EQ,
SmartCentres Real Estate Investment Trust,Real Estate,SRU-UN.TO,EQ,
Vital Infrastructure Property Trust.,Real Estate,VITL-UN.TO,EQ,
BlackBerry Limited,Technology,BB.TO,EQ,
CGI Inc.,Technology,GIB-A.TO,EQ,
Celestica Inc.,Technology,CLS.TO,EQ,
Constellation Software Inc.,Technology,CSU.TO,EQ,
Descartes Systems Group Inc.,Technology,DSG.TO,EQ,
Kinaxis Inc.,Technology,KXS.TO,EQ,
Lightspeed Commerce Inc.,Technology,LSPD.TO,EQ,
Open Text Corporation,Technology,OTEX.TO,EQ,
Shopify Inc.,Technology,SHOP.TO,EQ,
ATCO Ltd.,Utilities,ACO-X.TO,EQ,
Algonquin Power & Utilities Corp.,Utilities,AQN.TO,EQ,
Brookfield Infrastructure Partners L.P.,Utilities,BIP-UN.TO,EQ,
Canadian Utilities Limited,Utilities,CU.TO,EQ,
Capital Power Corporation,Utilities,CPX.TO,EQ,
Emera Incorporated,Utilities,EMA.TO,EQ,
Fortis Inc.,Utilities,FTS.TO,EQ,
Hydro One Limited,Utilities,H.TO,EQ,
Superior Plus Corp.,Utilities,SPB.TO,EQ,
TransAlta Corporation,Utilities,TA.TO,EQ,
