Code,Company,Sector,Market Capitalisation (A$),Headquarters
MXT,Metrics Master Income Trust,Financials,2345186381,Sydney
NAB,National Australia Bank,Financials,69797300000,Melbourne
NEM,Newmont,Materials,13530603778,"Denver, United States"
NHC,New Hope,Energy,4925291067,Brisbane
NHF,Nib,Financials,3122902470,Newcastle
NIC,Nickel Industries,Materials,3951161646,Sydney
NSR,National Storage,Real Estate,3889245765,Brisbane
NST,Northern Star Resources,Materials,31355916981,Perth
NWH,NRW Holdings,Industrials,2467337511,Perth
NWL,Netwealth Group,Financials,5207233158,Melbourne
NWS,News Corp Class B,Communication Services,1706704352,"New York City, United States"
NXG,Nexgen Energy,Energy,2357033627,"Vancouver, Canada"
NXT,NextDC,Information Technology,7215977531,Sydney
OBM,Ora Banda Mining,Materials,2158490678,Perth
ORA,Orora,Materials,2291391034,Melbourne
ORG,Origin Energy,Utilities,21689393178,Sydney
ORI,Orica,Materials,9410846170,Melbourne
PDI,Predictive Discovery,Materials,2201094238,Perth
PDN,Paladin Energy,Energy,5113698831,Perth
PLS,PLS Group,Materials,16394887582,Perth
PME,Pro Medicus,Healthcare,12415210403,Melbourne
PMV,Premier Investments,Consumer Discretionary,1984110775,Melbourne
PNI,Pinnacle Investment Management,Financials,3153287253,Sydney
PPT,Perpetual,Financials,1825367174,Sydney
PRN,Perenti,Materials,1806615024,Perth
PRU,Perseus Mining,Materials,7118819020,Perth
PXA,Pexa Group,Real Estate,2127068682,Melbourne
QAN,Qantas,Industrials,12937853835,Sydney
QBE,QBE Insurance,Financials,32363610639,Sydney
QUB,Qube Holdings,Industrials,8763539459,Sydney
RDX,Redox,Industrials,1764273598,Sydney
REA,REA Group,Communication Services,20366695985,Melbourne
REG,Regis Healthcare,Healthcare,1844405181,Melbourne
REH,Reece Group,Industrials,8088459235,Melbourne
RGN,Region Group,Real Estate,2585750166,Sydney
RHC,Ramsay Health Care,Healthcare,8983896244,Sydney
RIO,Rio Tinto,Materials,60093744607,"Melbourne/London, United Kingdom"
RMD,ResMed,Healthcare,18493619517,"San Diego, United States"
RMS,Ramelius Resources,Materials,7033564139,Perth
RRL,Regis Resources,Materials,5088734777,Perth
RSG,Resolute Mining,Materials,2981697570,Perth
RWC,Reliance Worldwide Corporation,Industrials,2196000147,Melbourne
RYM,Ryman Healthcare,Healthcare,1889256091,"Christchurch, New Zealand"
S32,South32,Materials,19830266962,Perth
SCG,Scentre Group,Real Estate,17601432797,Sydney
SDF,Steadfast Group,Financials,4659244921,Sydney
SEK,Seek,Communication Services,4943927430,Melbourne
SFR,Sandfire Resources,Materials,7637991719,Perth
SGH,SGH,Industrials,16552615452,Sydney
SGM,Sims Metal,Materials,3555487034,Sydney
SGP,Stockland,Real Estate,10018373783,Sydney
SHL,Sonic Healthcare,Healthcare,9874874301,Sydney
SIG,Sigma Healthcare,Healthcare,30706249544,Melbourne
SMR,Stanmore Resources,Materials,2334604332,Brisbane
SNZ,Summerset Group Holdings,Healthcare,1808722454,"Wellington, New Zealand"
SOL,Soul Patts,Financials,15705879654,Sydney
SPK,Spark New Zealand,Communication Services,3269925087,"Auckland, New Zealand"
STO,Santos,Energy,26242005525,Adelaide
SUL,Super Retail Group,Consumer Discretionary,2877029610,Strathpine
SUN,Suncorp,Financials,17110887369,Brisbane
TAH,Tabcorp,Consumer Discretionary,2132159134,Melbourne
TCL,Transurban,Industrials,43245747038,Melbourne
TLC,The Lottery Corporation,Consumer Discretionary,12019167196,Brisbane
TLS,Telstra,Communication Services,60905654189,Melbourne
TLX,Telix Pharmaceuticals,Healthcare,4388639072,Melbourne
TNE,TechnologyOne,Information Technology,8809487438,Brisbane
TPG,TPG Telecom,Communication Services,8009159952,Sydney
TUA,Tuas,Communication Services,3175213830,Sydney
TWE,Treasury Wine Estates,Consumer Staples,3011740980,Melbourne
VAU,Vault Minerals,Materials,4289644572,Perth
VCX,Vicinity Centres,Real Estate,11044000315,Melbourne
VEA,Viva Energy,Energy,4221278806,Melbourne
VGN,Virgin Australia Holdings,Industrials,1803733243,Brisbane
VNT,Ventia Services Group,Industrials,4300326134,Sydney
WAF,West African Resources,Materials,3701668429,Perth
WAM,WAM Capital,Financials,1913056911,Sydney
WBC,Westpac,Financials,136299086704,Sydney
WDS,Woodside Energy Group,Energy,66405427995,Perth
WES,Wesfarmers,Consumer Discretionary,83209566732,Perth
WGX,Westgold Resources,Materials,5678437700,Perth
WHC,Whitehaven Coal,Energy,7500938233,Sydney
WLE,WAM Leaders,Financials,1886266717,Sydney
WOR,Worley,Energy,5539089692,Sydney
WOW,Woolworths Group,Consumer Staples,45211386096,Sydney
WTC,Wisetech Global,Information Technology,12731179354,Sydney
XRO,Xero,Information Technology,12633999232,"Wellington, New Zealand"
XYX,"Block, Inc.",Financials,3139539773,"Oakland, United States"
YAL,Yancoal Australia,Materials,10920034144,Sydney
ZIM,Zimplats Holdings,Materials,1878276975,"Guernsey, United Kingdom"
ZIP,Zip,Financials,2001326648,Sydney
